timestamp,server,cpu,memory,disk,network,label,ai_prediction
2026-07-14 00:27:41.822298,VM1,100.0,54.7,23.8,56411,1,1
2026-07-14 00:27:42.015111,VM2,0.7,55.8,23.8,137035,0,0
2026-07-14 00:27:45.662869,VM3,0.7,52.5,23.8,157576,0,0
2026-07-14 00:27:46.925293,VM1,100.0,54.7,23.8,57246,1,1
2026-07-14 00:27:47.067475,VM2,1.3,55.8,23.8,137869,0,0
2026-07-14 00:27:50.721940,VM3,1.5,52.5,23.8,158410,0,0
2026-07-14 00:27:52.000964,VM1,100.0,54.7,23.8,58081,1,1
2026-07-14 00:27:52.124563,VM2,1.6,55.8,23.8,138703,0,0
2026-07-14 00:27:55.766743,VM3,1.2,52.5,23.8,159244,0,0
2026-07-14 00:27:57.109208,VM1,100.0,54.7,23.8,59576,1,1
2026-07-14 00:27:57.198764,VM2,0.7,55.8,23.8,139537,0,0
2026-07-14 00:28:00.809665,VM3,0.8,52.5,23.8,160078,0,0
2026-07-14 00:28:02.307985,VM1,100.0,54.7,23.8,60952,1,1
2026-07-14 00:28:02.309538,VM2,1.6,55.8,23.8,140371,0,0
2026-07-14 00:28:05.876804,VM3,1.7,52.5,23.8,160912,0,0
2026-07-14 00:28:07.370211,VM2,1.7,55.8,23.8,141205,0,0
2026-07-14 00:28:07.452758,VM1,100.0,54.7,23.8,61721,1,1
2026-07-14 00:28:10.962965,VM3,1.6,52.5,23.8,161746,0,0
2026-07-14 00:28:12.460822,VM2,0.9,55.8,23.8,142039,0,0
2026-07-14 00:28:12.572256,VM1,11.9,54.7,23.8,63472,0,0
2026-07-14 00:28:16.033400,VM3,0.9,52.5,23.8,162514,0,0
2026-07-14 00:28:17.524034,VM2,1.5,55.8,23.8,142873,0,0
2026-07-14 00:28:17.678956,VM1,4.0,54.7,23.8,64174,0,0
2026-07-14 00:28:21.120149,VM3,1.3,52.5,23.8,163348,0,0
2026-07-14 00:28:22.594219,VM2,1.2,55.8,23.8,143707,0,0
2026-07-14 00:28:22.765421,VM1,2.5,54.7,23.8,64941,0,0
2026-07-14 00:28:26.177794,VM3,1.3,52.5,23.8,164182,0,0
2026-07-14 00:28:27.644525,VM2,0.7,55.8,23.8,144541,0,0
2026-07-14 00:28:27.811441,VM1,1.2,54.7,23.8,65774,0,0
2026-07-14 00:28:31.235587,VM3,0.7,52.5,23.8,165016,0,0
2026-07-14 00:28:32.711757,VM2,1.2,55.8,23.8,145375,0,0
2026-07-14 00:28:33.019444,VM1,23.9,54.7,23.8,67591,1,0
2026-07-14 00:28:36.328021,VM3,1.1,52.5,23.8,165850,0,0
2026-07-14 00:28:37.786490,VM2,1.1,55.8,23.8,146209,0,0
2026-07-14 00:28:38.123031,VM1,100.0,54.7,23.8,68359,1,1
2026-07-14 00:28:41.392677,VM3,1.1,52.5,23.8,166684,0,0
2026-07-14 00:28:42.824087,VM2,0.6,55.8,23.8,147043,0,0
2026-07-14 00:28:43.219322,VM1,100.0,54.6,23.8,70019,1,1
2026-07-14 00:28:46.494243,VM3,0.6,52.5,23.8,167518,0,0
2026-07-14 00:28:47.874967,VM2,1.2,55.8,23.8,147877,0,0
2026-07-14 00:28:48.291891,VM1,100.0,54.6,23.8,70848,1,1
2026-07-14 00:28:51.612953,VM3,1.3,52.5,23.8,168352,0,0
2026-07-14 00:28:52.958363,VM2,1.4,55.8,23.8,148711,0,0
